name
Ford
Linotype Foundry
Vulcan Foundry
Pittsburgh Foundry
Pewabic Pottery
Harland and Wolff
Geographic Foundry
Bethlehem Steel Corporation (historically known for its steel foundries)
Bethlehem Steel Foundry
Bethlehem Steel Foundry
Bethlehem Steel Foundry
Bethlehem Steel Corporation
Aluminum Foundry
Bethlehem Steel Foundry
Royal Doulton
Bethlehem Steel Foundry
Bethlehem Steel Foundry
Bethlehem Steel Foundry
Bethlehem Steel Corporation
Bethlehem Steel Foundry
Gießerei
Ford Foundry
Alfred Nobel Foundry
Aluminum Foundry
Bethlehem Steel Foundry
Thomas Fattorini Ltd.
Saginaw Foundry
Bethlehem Steel Foundry
Bristol Foundry
Ford Motor Company
Bethlehem Steel Foundry
Ford foundry
Geographic Feature
Bosch Foundry
Aluminum Foundry
Bethlehem Steel Foundry
Bethlehem Steel Foundry
The Völklingen Ironworks
Al Mullah Foundry
Pewabic Pottery
Bethlehem Steel Foundry
Bethlehem Steel Foundry
Bethlehem Steel Foundry
Betts Foundry
Bethlehem Steel Foundry
Tata Steel Foundry
Bath Foundry
Bethlehem Steel Corporation
John Cockerill
Apple Inc. Foundry
