name
Green Mountain Buttes
Devils Tower
Shiprock
Devils Tower
Shiprock
Shiprock
Devils Tower
Devils Tower
Devils Tower
Devils Tower
Devils Tower
Chollar Butte
Pilot Butte
Bear Butte
Fool's Gold Butte
Devils Tower
Bear Butte
Devils Tower
Ship Rock
Devils Tower
Yorba Linda Buttes
Shiprock
Giant's Castle
Bear Butte
Monkey Face
Guadalupe Peak
Bear Butte
Devils Tower
Black Butte
Devils Tower
Yellow Butte
Devils Tower
Devils Tower
Cerro de la Silla
Ship Rock
Devils Tower
Devils Tower
Bear Butte
Grand Mesa
Deception Butte
Bear Butte
Devils Tower
Bald Mountain
Devils Tower
Devils Tower
Rundle Butte
Ship Rock
Devils Tower
Shiprock
Grand Mesa
