name
Orphan Knoll
Tamu Massif
Kerguelen Plateau
Tamu Massif
Kerguelen Plateau
Tamu Massif
Sunda Tablemount
Dogger Bank
Tamu Massif
Tamu Massif
Sunda Tablemount
Tamu Massif
Tamu Massif
Tamu Massif
Horton Plain
Tamu Massif
Kerguelen Plateau
Tamu Massif
Kerguelen Plateau
Agulhas Bank
Kidd Seamount
Hawaiian Emperor Seamounts
Kerguelen Plateau
Kerguelen Plateau
Tamu Massif
Tamu Massif
Mackenzie Guyot
Triton Bank
Kerguelen Plateau
Tamu Massif
Tamu Massif
Kerguelen Plateau
Tamu Massif
Tamu Massif
Kerguelen Plateau
Nautilus Seamount
Great Meteor Tablemount
Salisbury Plain
Kerguelen Plateau
Kerguelen Plateau
Kerguelen Plateau
Kerguelen Plateau
Kerguelen Plateau
Sunda Tablemount
Kainan Seamount
Kerguelen Plateau
Tamu Massif
Tamu Massif
Kerguelen Plateau
Kerguelen Plateau
