name
Lagoons
Bora Bora Lagoon
Laguna de Bay
Lagoons
Lagoons
Laguna de Bay
Laguna de Bacalar
Lagoa Rodrigo de Freitas
Laguna de la Plata
Laguna de Bacalar
Laguna de Bay
Laguna de la Restinga
Lagoa dos Patos
Lagoa dos Patos
Lagoa de Araruama
Lagoa de Araruama
Laguna de Bay
Koh Rong Lagoon
Lagoa de Araruama
Laguna de Bay
Guam Lagoon
Lagoon of Venice
Kopal Lake
Laguna de la Restinga
Laguna Bacalar
Laguna de Bacalar
Laguna de Guatavita
Lagoa Rodrigo de Freitas
Laguna de Bay
Laguna Verde
Laguna Colorada
Lagoa de Araruama
Laguna de Bacalar
Lagoa do Fogo
Lagoa dos Patos
Kakaban Lagoon
Laguna Bacalar
Laguna de Bacalar
Laguna de Bay
Laguna de Bay
Laguna de Bacalar
Laguna Bacalar
Lagoa Rodrigo de Freitas
Laguna de Bay
Laguna de Bay
Bikini Atoll Lagoon
Ngorongoro Crater
Laguna de Bay
Laguna Colorada
Laguna de Bay
