name
The Panama Canal
Dismal Swamp Canal Ditch
Delaware and Raritan Canal
Nahr el-Bared
Panama Canal
Panama Canal
Grand Coulee
Panama Canal Ditch
Trench Town Ditch
Zion-Mount Carmel Tunnel Ditch
Panama Canal Ditch
Panama Canal Ditch
Zuidplaspolder Drainage Ditch
Fosse d'Auge
Panama Canal
Suez Canal
Offa's Dyke
Culebra Cut
Trench of the Atlantic Ocean
Offa's Dyke
Panama Canal
Orleans Ditch
Panama Canal
Panama Canal
Panama Canal
Panama Canal
The Panama Canal
Panama Canal
Tara Ditch
Panama Canal
The Panama Canal
Panama Canal
Panama Canal Ditch
Panama Canal
The Solent (spit, not a true ditch, but a historical term 'Solent Ditch' was once used)
Offa's Dyke
Suez Canal Ditch
Panama Canal
Tara Ditch
Grand Ditch
Panama Canal
Panama Canal Ditch
Panama Canal
Ditchley Ditch
Panama Canal
Suez Canal
Panama Canal
Suez Canal
The Trench Ditch in Oxford, England
The Grubenmann Ditch
