name
The Ditch of Panama
Zanja Madre
Panama Canal
Panama Canal
Panama Canal Ditch
Panama Canal
Panama Canal
Panama Canal
Suez Canal
Panama Canal
Panama Canal
Suez Canal
Panama Canal
Panama Canal
The Panama Canal
Panama Canal
The Panama Canal
Suez Canal
Trench of Dingle
Panama Canal
Beverly Ditch in Indiana, USA
Panama Canal
Panama Canal
Panama Canal Ditch
Grand Ditch
Panama Canal
Panama Canal
Panama Canal
Suez Canal
The Ditch of Cismon
Panama Canal
Panama Canal
Trench of the Sutton Hoo burial ground
Trench of Marianas
Panama Canal
Grand Canyon
Suez Canal
Panama Canal
Panama Canal
Panama Canal
Panama Canal
Panama Canal
Grand Canal (China)
The Great Ditch
Panama Canal
Panama Canal
The Panama Canal
Panama Canal
The Marais des Cygnes Ditch
Grand Canyon
