name
North Field
Gorgon Gas Field
Troll Gas Field
Troll Gas Field
Gorgon Gas Field
Troll Gas Field
Troll gas field
Troll Gas Field
Gorgon Gas Field
Troll Gas Field
Troll Gas Field
Troll gas field
Troll Gas Field
Troll Gas Field
Gorgon Gas Field
Troll gas field
Gorgon Gas Field
Gorgon Gas Field
Gorgon Gas Field
Gorgon Gas Field
North Dome Gas Field
Gorgon Gas Field
Gorgon Gas Field
Troll Gas Field
Troll Gas Field
Troll Gas Field
Gorgon Gas Field
Troll Gas Field
Shtokman Gas Field
Gorgon Gas Field
Troll gas field
Gorgon Gas Field
Troll Gas Field
Troll Gas Field
Troll gas field
Troll Gas Field
Troll Gas Field
Troll Gas Field
Troll Gas Field
Gorgon Gas Field
Troll Gas Field
North Dome (South Pars) Gas Field
Gorgon Gas Field
Troll gas field
Gorgon Gas Field
Troll gas field
Troll Gas Field
Gorgon Gas Field
Troll Gas Field
Troll Gas Field
