name
Wheeler Foundry
Semiconductor Manufacturing International Corporation (SMIC)
TSMC (Taiwan Semiconductor Manufacturing Company)
TSMC (Taiwan Semiconductor Manufacturing Company)
TSMC (Taiwan Semiconductor Manufacturing Company)
Finland Foundry
General Motors Foundry in Defiance, Ohio
TSMC (Taiwan Semiconductor Manufacturing Company)
TSMC (Taiwan Semiconductor Manufacturing Company)
Tata Steel Foundry
TSMC (Taiwan Semiconductor Manufacturing Company)
Intel's D1X foundry in Hillsboro, Oregon
TSMC (Taiwan Semiconductor Manufacturing Company)
TSMC (Taiwan Semiconductor Manufacturing Company)
Tsingshan Holding Group Foundry
TSMC (Taiwan Semiconductor Manufacturing Company)
TSMC (Taiwan Semiconductor Manufacturing Company)
Intel's D1X Fab (located in Hillsboro, Oregon, USA)
TSMC (Taiwan Semiconductor Manufacturing Company)
Intel Corporation (foundry division)
Intel's D1X Fab in Hillsboro, Oregon
TSMC (Taiwan Semiconductor Manufacturing Company)
TSMC (Taiwan Semiconductor Manufacturing Company)
TSMC (Taiwan Semiconductor Manufacturing Company)
TSMC (Taiwan Semiconductor Manufacturing Company)
TSMC (Taiwan Semiconductor Manufacturing Company)
TSMC (Taiwan Semiconductor Manufacturing Company)
TSMC (Taiwan Semiconductor Manufacturing Company)
TSMC (Taiwan Semiconductor Manufacturing Company)
Tata Steel Foundry
Tata Steel Foundry
TSMC (Taiwan Semiconductor Manufacturing Company)
Intel D1X (Hillsboro, Oregon, USA)
Tata Steel Foundry
Acme Foundry
TSMC (Taiwan Semiconductor Manufacturing Company)
TSMC (Taiwan Semiconductor Manufacturing Company)
Dachang Foundry
TSMC (Taiwan Semiconductor Manufacturing Company)
JSW Steel Salem Works Foundry
TSMC (Taiwan Semiconductor Manufacturing Company)
Tata Steel Jamshedpur Foundry
TSMC (Taiwan Semiconductor Manufacturing Company)
TSMC (Taiwan Semiconductor Manufacturing Company)
TSMC (Taiwan Semiconductor Manufacturing Company)
TISCO (Tata Iron and Steel Company) Foundry
TSMC (Taiwan Semiconductor Manufacturing Company)
TSMC (Taiwan Semiconductor Manufacturing Company)
ArcelorMittal Dofasco
Intel D1X (Hillsboro, Oregon, USA)
