name
Barnes Ice Cap
Perito Moreno Glacier
Howard Glacier and Snowfield
Eureka Dome
Siachen Glacier
Belgian Ice Piedmont
Miage Glacier
Vistedal Glacier
Columbia Icefield
Teton Glacier
Columbia Icefield
Colchagua Snowfield
Lambert Glacier
Skaftafell Ice Cap
Snowfield
Antarctic Plateau
Furtwängler Glacier
Colle del Nivolet
Perito Moreno Glacier
Furtwängler Glacier
Snowfield
Sierra Nevada Snowfield
Columbia Icefield
Sunningdal Glacier
Colchuck Glacier
Bering Snowfield
Sierra Nevada Snowfield
Perito Moreno Glacier
Ross Ice Shelf
Faith Glacier
Siachen Glacier
Sarek Glacier
Sør-Fonna Snowfield
Antarctica's Ice Sheet
Ross Ice Shelf
Siegfriedhorn Snowfield
Siskiwit Lakes Snowfield
Bydåkerneset Snowfield
Baltoro Glacier
Furtwängler Glacier
Furtwängler Glacier
Colchuck Glacier
Swiftcurrent Glacier
Columbia Icefield
Perito Moreno Glacier
Guerrero Glacier
Perito Moreno Glacier
Hintereisferner
The Columbia Icefield
Coldest Icefield
