name
Kalahari Tent Camp Waterhole
Kruger National Park Waterhole
Serengeti National Park waterhole
Etosha Pan
Serengeti Hippo Pool
Kalahari Oasis
Kalahari Oasis
Kalahari Tented Camp Waterhole
Serengeti Waterhole
Serengeti Hippo Pool
Serengeti Waterhole
Kalahari Oasis
Lake Victoria
Serengeti Hippo Pool
Kalahari Oasis
Kalahari Tent Camp Waterhole
Kalahari Oasis
Grand Prismatic Spring
Serengeti Hippo Pool
Kalahari Oasis
Grand Prismatic Spring
Serengeti Waterhole
Palm Springs
Serengeti National Park
Kruger National Park
Lake Victoria
Kalahari Oasis
Lake Tahoe
Kalahari Oasis
Lake Tahoe
Serengeti Hippo Pool
Kalahari Waterhole
Giraffe Watering Hole
Lake Michigan
Rainbow Beach Waterhole
Kalahari Waterhole
Kalahari Oasis
Lake Michigan
Lake Tahoe
Kalahari Oasis
Devil's Pool
Serengeti National Park
Kalahari Oasis
Kalahari Waterhole
Serengeti Hippo Pool
Serengeti Hippo Pool
Grand Prismatic Spring
Kruger National Park
Kalahari Waterhole
Kalahari Oasis
