name
Ruth Glacier Snowfield
Mendenhall Glacier Snowfield
Vernagtferner, Austria
Snowfield Peak Snowfield
Snowfield Peak
Langjökull
Jungfrau Plateau
Sperry Glacier Snowfield
Juneau Icefield
Columbia Icefield
Langjökull
Columbia Icefield
Hardangerjøkulen Snowfield
Sverdrup Glacier Snowfield
Ruth Glacier Snowfield
Columbia Icefield
Columbia Icefield
Juneau Icefield
Jostedalsbreen Snowfield
Columbia Icefield
Lyman Snowfield
Columbia Icefield
Hardangerjøkulen
Columbia Icefield
Névé (as a general type of snowfield)
Columbia Icefield
Sperry Glacier Snowfield
Columbia Icefield
Columbia Icefield
Hardangerjøkulen
Juneau Icefield
Nisqually Glacier Snowfield
Juneau Icefield
The Harding Icefield
Juneau Icefield
Paradise Glacier Snowfield
The Harding Icefield
Mendenhall Glacier Snowfield
Saskatchewan Glacier Snowfield
Paradise Glacier Snowfield
Columbia Icefield
Sperry Glacier
Snowfield Peak
Columbia Icefield
Helheim Snowfield
Columbia Icefield
Columbia Icefield
Juneau Icefield
Sullivan's Snowfield
Columbia Icefield
