name
Llano Estacado
Texas Spur 10
Del Norte Spur
Llano Estacado
Texas Spur 122
Texas Spur 122
Guadalupe Mountains Spur
Guadalupe Mountains
Capitan Mountains Spur
Sierra Madre Spur
Llano Estacado
Guadalupe Mountains Spur
Texas Spur 122
Texas Spur 408
Del Norte Spur
Texas Spur 421
Llano Estacado
Guadalupe Mountains Spur
Rowel Spur
Sierra Nevada
Estes Park Spur
Texas Spur 122
Sierra Madre Spur
Guadalupe Mountains Spur
Guadalupe Mountains
Chisos Mountains Spur
Guadalupe Mountains
Texas Spur
Texas Spur 421
Calf Creek Spur
Texas Spur 421
Guadalupe Mountains Spur
Llano Estacado
Texas Spur 557
Delavan Spur
Sierran Spur
Llano Estacado
Guadalupe Mountains Spur
Guadalupe Mountains Spur
Capitan Mountains
Mesa Spur
Bighorn Spur
Texas Spur 347
Carrizozo Spur
Texas Spur 482
Guadalupe Mountains Spur
Texas Spur 330
Guadalupe Mountains Spur
Texas Spur 327
Texas Spur 601
