name
The Muriel Kauffman Theatre
Delacorte Theater
The National Theatre
The Apollo Theater
Theater Royal
The Globe Theatre
The Globe Theatre
The Globe Theatre
The Palace Theater
The Grand Opera House
The Globe Theatre
The Globe Theatre
Gotham City Theater
The Globe Theatre
The Globe Theatre
The Globe Theatre
The Globe Theatre
The Grand Theatre
The Globe Theatre
The Globe Theatre
Broadway Theatre
The Metropolitan Opera House
The Globe Theatre
Broadway Theatre
The Globe Theatre
Theater Royal Drury Lane
Theatre Royal
The Globe Theatre
Theater of Dionysus
Lyceum Theatre
The Globe Theatre
Broadway Theatre
The Globe Theatre
The Globe Theatre
The National Theatre
The Gibbs Theatre
The Globe Theatre
Theatre de la Huerta
The Globe Theatre
The Queen's Theatre
The National Theatre
Theatre Royal
Broadway Theatre
The Old Vic
The Old Vic
Broadway Theatre
Gotham Theatre
The Globe Theatre
The Globe Theatre
theater
