name
Central Synagogue
Congregation Beth Israel
Temple Beth Israel
Temple Beth Sholom
Temple Beth Shalom
Temple Beth El
Central Synagogue
Temple Beth Israel
Temple Beth El
Temple Beth-El
Temple Beth Shalom
Beth Shalom Synagogue
Beth Shalom Synagogue
Beth Israel Synagogue
Temple Beth Israel
Beth Israel Synagogue
Temple Beth-El
Temple Beth Shalom
Temple Beth Sholom
Temple Beth Shalom
Temple Beth Israel
Beth Israel Synagogue
Temple Beth Israel
Temple Beth-El
Temple Beth Sholom
Temple Beth Israel
Temple Emanu-El
Temple Beth El
Temple Beth Israel
Temple Beth Shalom
Beth Israel Synagogue
Beth Israel Synagogue
Temple Beth Israel
Central Synagogue
Temple Beth El
Temple Beth Sholom
Temple Beth El
Temple Beth Israel
Temple Beth Shalom
Temple Beth El
Temple Beth El
Synagogue of El Transito
Temple Beth Shalom
Temple Beth Israel
Temple Beth Israel
Temple Beth Israel
Great Synagogue of Budapest
Temple Beth El
Temple Beth Israel
Temple Beth Shalom
