name
Brimham Rocks
The Palisades
Miners Ledge
Pinnacle Ledge
Lover's Leap
Liberty Ledge
Shelikof Ledge
Pulpit Rock
Lover's Leap
Ledge Point
Ledge Point
Nubble Ledge
Devils Tower Ledge
The Palisades
Grand Ledge
Nubble Ledge
Pinnacle Ledge
Liberty Ledge
Minerva Ledge
Lover's Leap
Grand Ledge
Devils Tower
The Palisades
Devils Tower Ledge
The Palisades
Glacial Ledge
Fingal's Ledge
Devil's Tower Ledge
Pulpit Rock
Gogarth Ledge
Grand Ledge
Devils Tower Ledge
Niagara Ledge
Chimney Rock Ledge
Devils Tower Ledge
Davenport Ledge
Minerva Ledge
Devil's Tower
Shark Fin Ledge
Grand Ledge
Devils Tower
Salisbury Ledge
Devil's Tower Ledge
Devil's Tower Ledge
Coral Ledge
Pinnacle Ledge
Baldwin Ledge
Pemaquid Ledge
Devil's Tower
Shelter Ledge
