name
Niagara Escarpment
Palmer Ledge
Shelving Ledge
The Palisades
Hallet's Ledge
Acadia Ledge
Pulpit Rock Ledge
The Grand Ledge
Cathedral Ledge
Devils Tower
Maine Ledge
Pinnacle Ledge
Pulpit Rock
Minaret Ledge
White Ledge
Katahdin Ledge
Sunset Ledge
Pemaquid Ledge
Bass Rock
Ladd's Ledge
Fossil Ledge
Barnard Ledge
Shelf Ledge
Palomarin Ledge
The Palisades
Shark Fin Ledge
Edge of the World
Miners Ledge
Cliffs of Moher
Putnam's Ledge
Grand Ledge
Diamond Ledge
Prometheus Ledge
Hanging Rock
Devil's Tower Ledges
Grand Ledge
Acadia National Park's Precipice Ledge
Haystack Ledge
Cornwall Ledge
Devil's Tower Ledge
Cathedral Ledge
Shelter Ledge
Brimstone Ledge
Miners' Ledge
Shelving Ledge
Nubble Ledge
Shark Fin Ledge
Frenchman Bay Ledge
Minnewaska Ledge
Cornwallis Ledge
